"LME","MedianTotalEggChange","MedianPercentageEggChange","MedianTotalFishChange","MedianPercentageFishChange"
"New Zealand Shelf","0e+00 (4e-07)","-0.75 (4.55)","0 (0.03)","-0.23 (1.44)"
"North Australian Shelf","0e+00 (9e-07)","-0.77 (3.91)","0 (0.02)","-0.28 (1.09)"
"North Brazil Shelf","-1e-06 (4.41e-05)","-11.2 (17.7)","-0.05 (1.19)","-3.63 (7.79)"
"North Sea","0e+00 (4.3e-06)","-0.41 (7.47)","-0.01 (0.35)","-0.26 (2.69)"
"Northeast Australian Shelf","0e+00 (1.2e-06)","0.75 (19.27)","0 (0.03)","0.15 (3.35)"
"Northeast U.S. Continental Shelf","0e+00 (1.62e-05)","-1.87 (6.82)","-0.11 (0.61)","-0.66 (2.15)"
"Northern Bering - Chukchi Seas","0e+00 (5e-07)","-0.34 (8.37)","0 (0.17)","-0.14 (4.42)"
"Northwest Australian Shelf","-1e-07 (5e-07)","-2.08 (3.23)","0 (0.01)","-0.6 (0.93)"
"Norwegian Sea","0e+00 (3e-07)","-1.9 (9.02)","-0.01 (0.07)","-0.79 (4.99)"
"Oyashio Current","-5e-07 (1.5e-06)","-3.6 (9.67)","-0.07 (0.23)","-1.18 (3.04)"
"Pacific Central-American Coastal","0e+00 (1.8e-06)","-1.73 (6.6)","0 (0.07)","-0.45 (2.22)"
"Patagonian Shelf","0e+00 (4.5e-06)","-0.12 (9.41)","0 (0.27)","-0.04 (2.99)"
"Red Sea","-1e-07 (1.5e-06)","-2.68 (2.31)","0 (0.04)","-0.78 (0.69)"
"Scotian Shelf","0e+00 (3.2e-06)","0.24 (7.01)","0 (0.45)","0.07 (1.89)"
"Sea of Japan","-1e-07 (1.1e-06)","-2.56 (4.59)","-0.04 (0.09)","-0.83 (1.45)"
"Sea of Okhotsk","0e+00 (1.5e-06)","0.04 (8.34)","0 (0.31)","0.05 (3.04)"
"Somali Coastal Current","-5e-07 (1.5e-06)","-7.71 (11.95)","-0.02 (0.05)","-2.57 (4.1)"
"South Brazil Shelf","-5e-07 (2.52e-05)","-8.84 (8.24)","-0.02 (1.21)","-2.89 (3.28)"
"South China Sea","-1e-07 (4.7e-06)","-2.78 (11.47)","0 (0.1)","-0.96 (3.78)"
"South West Australian Shelf","0e+00 (3e-07)","-1.04 (4.21)","0 (0.01)","-0.28 (1.19)"
"Southeast Australian Shelf","0e+00 (6e-07)","-0.47 (6.66)","0 (0.03)","-0.19 (2.23)"
"Southeast U.S. Continental Shelf","0e+00 (4.1e-06)","2.31 (30.17)","0 (0.11)","0.94 (7.64)"
"Sulu-Celebes Sea","-3e-07 (2.6e-06)","-9.66 (24.07)","-0.01 (0.07)","-2.88 (5.06)"
"West Bering Sea","-1e-07 (1.1e-06)","-2.5 (8.01)","-0.03 (0.24)","-0.98 (3.3)"
"West Central Australian Shelf","0e+00 (4e-07)","-0.81 (5.63)","0 (0.01)","-0.28 (1.41)"
"Yellow Sea","0e+00 (6.3e-06)","0.22 (6.15)","0 (0.39)","0.02 (1.7)"
