"LME","MedianTotalHChange","MedianPercentageHChange","MedianTotalFishChange","MedianPercentageFishChange"
"Northeast U.S. Continental Shelf","0e+00 (2e-13)","-0.15 (385.44)","2e-13 (3.2e-12)","2.16 (68.06)"
"Northern Bering - Chukchi Seas","0e+00 (2e-13)","-0.59 (12.34)","-1e-13 (1.6e-12)","-0.41 (5.09)"
"Northwest Australian Shelf","0e+00 (1.8e-12)","0.22 (234.78)","0e+00 (1.5e-12)","0.15 (15.86)"
"Norwegian Sea","0e+00 (3e-13)","-0.97 (6.83)","-2e-13 (1.3e-12)","-0.9 (4.59)"
"Oyashio Current","0e+00 (4.2e-12)","0.53 (330.01)","0e+00 (1.43e-11)","-0.25 (56.03)"
"Pacific Central-American Coastal","0e+00 (2.1e-12)","0.75 (111.67)","1e-13 (3.1e-12)","0.59 (24.12)"
"Patagonian Shelf","0e+00 (2.4e-12)","-1.65 (225.59)","-1e-13 (6.1e-12)","-0.75 (45.93)"
"Red Sea","0e+00 (2e-13)","0.58 (12.4)","1e-13 (5e-13)","0.5 (5.3)"
"Scotian Shelf","0e+00 (1e-13)","-2.74 (56.19)","1e-13 (7e-13)","0.9 (9.59)"
"Sea of Japan","0e+00 (6e-13)","-1.61 (67.43)","-1e-13 (3.4e-12)","-0.75 (25.09)"
"Sea of Okhotsk","1e-13 (1.3e-12)","1.55 (151.46)","3e-13 (6e-12)","0.88 (31)"
"Somali Coastal Current","6e-13 (3.1e-12)","37.72 (122.56)","6e-13 (3.3e-12)","5.67 (26.31)"
"South Brazil Shelf","0e+00 (3.1e-12)","-0.01 (389.63)","-4e-13 (4.3e-12)","-1.33 (53.47)"
"South China Sea","2e-13 (4e-12)","1.86 (218.47)","3e-13 (3.9e-12)","1.63 (32.31)"
"South West Australian Shelf","-1e-13 (1.5e-12)","-0.71 (61.17)","-3e-13 (3e-12)","-0.72 (14.23)"
"Southeast Australian Shelf","0e+00 (3.3e-12)","0.22 (125.01)","-5e-13 (5.3e-12)","-1.2 (16.88)"
"Southeast U.S. Continental Shelf","1e-13 (3.6e-12)","2.55 (308.37)","-1e-13 (3.9e-12)","-0.59 (36.6)"
"Sulu-Celebes Sea","1.2e-12 (3.8e-12)","7.45 (217.92)","1e-12 (3.3e-12)","4.63 (26.62)"
"West Bering Sea","-1e-13 (1.3e-12)","-1.1 (152.79)","-2e-13 (6.1e-12)","-0.71 (32.62)"
"West Central Australian Shelf","3e-13 (9e-13)","1.82 (90.12)","4e-13 (1.2e-12)","1.35 (12.78)"
"Yellow Sea","0e+00 (1e-13)","0 (239.62)","1e-13 (2.1e-12)","1.05 (65.53)"
